code,price
131-1170,9.09
131-1180,11
131-2700,18
131-2715,23.4
131-2720,25.4
131-3075,3.39
131-3115,11
131-3170,21.1
131-5125,18.1
131-5315,8.74
131-5320,5.31
131-5325,5.25
131-6025,9.7
135-5505,11.5
138-1074,36.9
138-1987,13.5
142-8293,17.92
154-1205,13.2
230-1030,265
312-1052,41.9
312-1054,27.9
312-1056,10.5
312-1060,0.91
312-1068,0.85
312-1076,0.91
312-1082,0.74
312-1090,1.89
312-1092,3.69
312-1094,5.49
312-1096,7.89
312-1098,46.5
312-1116,8.49
312-1118,8.49
312-1120,4.99
312-1122,6.09
312-1124,41.9
312-1158,21.5
312-1164,4.79
312-1168,4.89
312-1172,7.19
312-1174,8.29
312-1176,7.59
312-1182,19.5
312-1200,4.99
312-1202,39.5
312-1204,6.29
312-1208,6.29
312-1220,8.89
312-1274,0.85
312-1278,6.09
312-1280,0.85
312-1286,0.77
312-1290,1.16
312-1292,2.89
312-1298,5.59
312-1300,6.19
312-1302,6.59
312-1304,8.39
312-1306,7.99
312-1318,1.79
312-1322,1.79
312-1326,2.09
312-1332,2.09
312-1336,6.09
312-1338,6.39
312-1342,2.39
312-1346,11.5
312-1350,9.79
312-1352,11.5
312-1356,4.09
312-1358,11.5
312-1362,11.5
312-1374,2.69
312-1378,2.39
312-1380,2.99
312-1382,2.79
312-1386,14.5
312-1388,11.9
312-1392,5.59
312-1394,1.89
312-1396,1.89
312-1398,5.19
312-1400,4.99
312-1408,8.29
312-1412,4.29
312-1414,4.69
312-1416,44.5
312-1418,7.39
312-1422,4.89
312-1428,6.19
312-1444,4.89
312-1448,8.69
312-1450,6.99
312-1462,5.29
312-1466,10.9
312-1468,5.49
312-1470,5.59
312-1490,6.49
312-1502,5.69
